"Hi! My name is Marlie Jean Curwin. My Mama’s name is Erin. On January 5th, Mama noticed that I wasn’t using one of my legs very well. It was sore and swollen and I had a little fever too; I just wasn’t feeling myself. She took me to the doctor and we stayed a couple of days in the Moncton Hospital. They did some tests on me and before I knew it, on January 7th, they flew me to the IWK. That was my first plane ride and I didn’t like it one bit.
The next day, I was visited by lots of people. Some came to talk and see my leg and some came to take my blood....I didn’t give it up without a fight though. Then a doctor came to just talk. They said I have AML Leukemia. I’m not sure what that means, but I know my Mama and Aunty Kellie started to cry. Mama and I are told this place will be our home for the next 4-6 months. I heard Mama say that we would be out of here in 4 months because apparently I’m very strong willed and stubborn and she knows I can do it. I’d like to add that I’m also smart, funny and…very cute!
I will be turning 1 years old on February 9th. It’s not the best place to celebrate your birthday but I still get to have a little party. They are really great to us here at the IWK. My family all loves me SO much, especially Mama; she hasn’t left my side. I have the best Mama! My Aunty has been here with Mama and me most of the time too. My Grammy (Veva) and Grampy (Gary) will be visiting me lots and lots. I know my family is scared and I realize that I need them with me right now, but I worry that they will become financially and emotionally drained.
Please help them to have one less thing to worry about… they are worried enough.
Love,
Marlie",Real
"Please share every little bit helps 
This is my baby cousin Marlie. She was diagnosed with an aggressive form of blood cancer in January and is not responding to chemotherapy. Marlie needs a bone marrow transplant, which will take place in Toronto. Please help spread the word, get tested, it's one simple cheek swab that could save a life. I'm hoping to raise enough money so the family doesn't have to worry about the cost of travel to and from Toronto as well as accommodations while they are there.",Fake
"Truly believe that all Johnny needs is one little break. Hopefully with your help I can be the one to give it to him. 
Any little bit will help.
There will also be 2 trusts set up in his name, one essentially giving him the ability to collect a small ‘salary’ each year and another retirement trust which will be wisely invested by a financial planner which he will have access to in a time frame he feels comfortable with so when the time comes he can live his retirement dream of owning a piece of land and a cabin in the country. A bank account will be set up for him with funds for everyday needs that will get him through until he finds a job. And lastly, he will be donating to a few organizations and people who over the last couple of years have helped him get through this rough patch in his life.",Fake
"This fund is set up to help pay for Sabrina Galusha's funeral. She was taken from her family and friends unexpectedly on May 31,2017. This is also there to help out her family in the time of need. For those who knew Sabrina she was a kind, caring, and loving person. She always knew how to make anyone smile. Anything will help in this time of grievance. Thank you in advanced for donating.",Fake
"As difficult as this situation is, it’s even more difficult to plan to lay him to rest because of a lack of funding. 
I come to you in my family’s time of need.
Yesterday on August 13, 2016 tragedy struck my family. The beautiful little Angel pictured above is my nephew Makhi Mitchell who was 4 years old and his family came to CT from VA to surprise my son Antonio at his birthday party....we had a wonderful birthday",Fake
"Hello! Thank you for visiting my fundraiser. My name is Matt Steves , I’m 36 years-young, an American Red Cross volunteer, animal lover and health enthusiast. I love meeting new people, learning new things and enjoying all of the wondrous experiences life has to offer. Unfortunately, in June 2015, while on holiday in Italy  with my dad , I was diagnosed with Stage IV colon cancer with serious metastasis to my liver – I was 35. I had no prior symptoms or suspect health history, and had always followed a healthy and active lifestyle. In the blink of an eye, every aspect of my life was thrown upside down and I was suddenly cast in a desperate battle just to stay alive…",Fake
"Hello! Thank you for visiting my fundraiser. My name is Daniel, I’m 32 years-young, an American Red Cross volunteer, animal lover and health enthusiast. I love meeting new people, learning new things and enjoying all of the wondrous experiences life has to offer. Unfortunately, in May 2015, while on holiday in Malaysia with my Mom, I was diagnosed with Stage IV colon cancer with serious metastasis to my liver – I was 31. I had no prior symptoms or suspect health history, and had always followed a healthy and active lifestyle. In the blink of an eye, every aspect of my life was thrown upside down and I was suddenly cast in a desperate battle just to stay alive…",Real
"Please help us in our effort to raise money for the Dinovo family. Niko, 16 years old, of Colonie, NY is currently at Westchester Medical Center after a horrific accident, leaving him in serious, critical condition. The accident has left him with 3rd Degree burns on 95% of his body. These next 48 hours are crucial. This will be a long, life-changing journey and we ask that you please donate, in an effort to assist Niko's mother, Alicia Dinovo, and family during this tough time, as well as send prayers his way as he continues to fight to live. Please. Anything will help.",Real
"I am starting this Go Fund Me to help a deserving family going through something no family should ever have to deal with. The LaFrance family recently found out their son CJ has cancer. CJ was diagnosed with Hodgkin's lymphoma initially, if that isn't bad enough they were just given the news that he has a malignant tumor in his abdomen, & gastroperisis. CJ has to go to the children's hospital several times a week for treatments which has forced both Jolene and Marty to take a leave of absence from work. They have been out of work since March leaving them with no income . Any funds raised will go towards medical expenses, gas for travel, and anything else related to this difficult time!",Fake
"About a year ago my son Blake fell ill after numerous doctors and me not backing down he got diagnosed with type 3 vonwillie brand, we thought ok we can know he’s gonna be ok. Wrong the bleeding got worse, he started losing weight and passing out on me, my motherly instinct knew something was wrong. Back to the Drs we go, after 12 tubes of blood and two separate bone marrow test we found out its leukemia. My world fell apart he’s my baby and this is a fight in not willing to give up on for him. Blake made a list of things he wants to do before he gets to sick, now it’s my job to help him do just that. But I’m a single mom to three other kids and work. So please if you have a spare dollar help me help my son wishes and dreams come true.",Fake
